Date,Open,High,Low,Close,Volume
20100928,351.2518,351.3187,347.7057,349.5958,16901
20100929,349.1693,350.3903,348.2911,350.1896,23311
20100930,348.8682,350.4322,348.7595,350.4322,14637
20101001,351.7620,351.7620,349.2613,350.0140,10945
20101004,350.2147,352.0798,347.1704,347.1704,19177
20101005,347.5133,348.4416,346.0413,346.2504,41353
20101006,346.1668,346.2839,345.3806,346.2504,7826
20101007,346.2504,351.6700,346.2504,351.6700,23190
20101008,351.6616,351.6616,348.2242,348.2242,14572
20101012,349.7798,349.7798,346.8944,346.8944,17850
20101013,347.1704,348.8849,346.6017,347.1704,31003
20101014,348.7511,350.6329,347.9649,349.2195,31839
20101015,349.5958,349.5958,347.9231,348.5504,17883
20101018,348.5336,351.2769,348.5336,349.1776,28717
20101019,349.3365,350.1813,347.8395,349.1776,33493
20101020,349.5874,350.1813,347.9231,350.0893,5845
20101021,349.9053,350.0140,347.6471,347.6471,16840
20101022,349.9304,349.9304,347.6304,347.9231,14837
20101025,347.9231,348.7511,346.6937,346.6937,65869
20101026,347.1704,348.8849,346.2588,347.0868,24838
20101027,345.4140,347.0868,341.5334,341.5334,24280
20101028,342.9050,347.1620,337.8869,346.1919,19030
20101029,343.3901,348.9184,343.3901,348.9184,18310
20101101,348.8013,349.0522,338.7232,341.4581,19064
20101102,341.4581,341.4581,337.4687,337.8367,18157
20101103,338.8236,341.2239,338.8069,340.1032,38034
20101104,342.5454,342.7377,339.1414,340.7472,38425
20101105,340.6050,342.3864,340.5214,341.2323,27848
20101108,341.3661,342.3864,339.1832,339.1832,18751
20101109,342.3446,343.5322,340.3959,341.7926,38443
20101110,341.8428,343.0973,339.5596,342.0686,15667
20101111,341.2323,341.2323,336.7160,338.0541,20144
20101112,338.3050,339.1581,336.3396,336.3396,20555
20101115,337.7949,337.8032,335.4614,336.2142,17594
20101116,336.2142,336.2142,331.2880,334.9513,37078
20101117,336.9585,336.9585,333.3204,334.5331,16332
20101118,334.5414,335.4447,333.2116,333.7887,20162
20101119,333.7887,335.3778,333.3873,333.7051,22448
20101122,333.7135,336.5571,333.7135,335.3862,24553
20101123,334.5498,335.8963,332.8687,332.8687,9751
20101124,333.0444,334.7422,332.0324,334.4494,14177
20101125,333.9058,334.5414,333.1196,333.6131,2349
20101126,332.7266,335.3945,332.7266,334.9094,4764
20101129,334.9094,335.7960,333.0360,334.2069,41760
20101130,333.0026,335.7960,332.4087,332.5007,47120
20101201,334.5414,339.3505,334.4913,338.9323,16082
20101202,337.0589,337.0589,333.4960,334.6251,20187
20101203,334.6251,335.3778,333.9142,334.4076,14292
20101206,334.9596,334.9596,333.7051,334.5414,30858
20101207,334.5414,334.9596,331.9488,334.5331,28483
20101208,333.7469,334.5414,330.3597,332.0408,21151
20101209,333.3287,335.3778,330.3597,332.1997,30629
20101210,334.5331,342.9050,332.8771,334.1065,19436
20101213,333.5880,338.7901,333.0360,338.7901,28406
20101214,338.2967,342.8213,337.4687,339.1414,45744
20101215,339.1414,341.2239,334.3825,334.5331,29238
20101216,335.3778,336.6992,333.7051,335.3778,18409
20101217,336.2225,339.1414,330.3597,330.3597,69846
20101220,331.8484,336.1640,330.3597,335.3778,19697
20101221,335.3778,337.0421,334.5414,337.0421,14885
20101222,337.0421,338.9825,337.0421,338.1545,21158
20101223,338.2214,338.2214,334.1818,335.1520,11611
20101224,335.5869,336.2058,333.3789,336.0302,2502
20101229,336.7912,340.2705,336.7912,339.7770,16571
20101230,339.3672,340.7054,338.9992,340.4796,17788
20101231,339.5596,342.0603,338.7232,342.0603,8235
20110104,342.9050,348.3246,342.9050,346.2504,21507
20110105,346.2504,346.2504,340.1868,340.6134,16159
20110106,341.8595,342.2024,339.5596,341.3577,33191
20110107,342.1355,342.1355,336.2142,339.3003,14911
20110110,340.6050,342.9050,336.2727,342.9050,17468
20110111,342.9050,342.9050,337.9705,338.3050,19586
20110112,338.7316,341.6086,338.6814,340.9814,14272
20110113,340.9814,341.6337,334.8927,336.2142,23023
20110114,344.9906,347.5738,344.0380,347.1361,74057
